Fiscal_Year,Province_Territory,Age_Group,Sex,Number_of_Discharges,Total_Length_of_Stay_Days,Average_Length_of_Stay_Days
2023–2024,Newfoundland and Labrador,00–04,All,1011.0,3845.0,3.803165182987141
2023–2024,Newfoundland and Labrador,00–04,Female,431.0,1642.0,3.809744779582366
2023–2024,Newfoundland and Labrador,00–04,Male,580.0,2203.0,3.798275862068965
2023–2024,Newfoundland and Labrador,05–09,All,550.0,1862.0,3.385454545454545
2023–2024,Newfoundland and Labrador,05–09,Female,236.0,712.0,3.016949152542373
2023–2024,Newfoundland and Labrador,05–09,Male,314.0,1150.0,3.662420382165605
2023–2024,Newfoundland and Labrador,10–14,All,486.0,2182.0,4.489711934156379
2023–2024,Newfoundland and Labrador,10–14,Female,227.0,835.0,3.6784140969163
2023–2024,Newfoundland and Labrador,10–14,Male,259.0,1347.0,5.2007722007722
2023–2024,Newfoundland and Labrador,15–19,All,705.0,3225.0,4.574468085106383
2023–2024,Newfoundland and Labrador,15–19,Female,427.0,1674.0,3.920374707259953
2023–2024,Newfoundland and Labrador,15–19,Male,277.0,1550.0,5.595667870036101
2023–2024,Newfoundland and Labrador,20–24,All,1122.0,5433.0,4.842245989304812
2023–2024,Newfoundland and Labrador,20–24,Female,854.0,3936.0,4.608899297423887
2023–2024,Newfoundland and Labrador,20–24,Male,263.0,1487.0,5.653992395437262
2023–2024,Newfoundland and Labrador,25–29,All,1747.0,7561.0,4.327990841442473
2023–2024,Newfoundland and Labrador,25–29,Female,1457.0,5584.0,3.832532601235415
2023–2024,Newfoundland and Labrador,25–29,Male,289.0,1976.0,6.837370242214533
2023–2024,Newfoundland and Labrador,30–34,All,2264.0,9766.0,4.313604240282685
2023–2024,Newfoundland and Labrador,30–34,Female,1867.0,6555.0,3.510980182110337
2023–2024,Newfoundland and Labrador,30–34,Male,396.0,3210.0,8.106060606060606
2023–2024,Newfoundland and Labrador,35–39,All,1725.0,9418.0,5.459710144927536
2023–2024,Newfoundland and Labrador,35–39,Female,1247.0,5302.0,4.251804330392943
2023–2024,Newfoundland and Labrador,35–39,Male,478.0,4116.0,8.610878661087867
2023–2024,Newfoundland and Labrador,40–44,All,1444.0,9107.0,6.306786703601108
2023–2024,Newfoundland and Labrador,40–44,Female,866.0,4968.0,5.736720554272518
2023–2024,Newfoundland and Labrador,40–44,Male,577.0,4137.0,7.169844020797227
2023–2024,Newfoundland and Labrador,45–49,All,1658.0,13381.0,8.070566948130278
2023–2024,Newfoundland and Labrador,45–49,Female,914.0,6996.0,7.654266958424508
2023–2024,Newfoundland and Labrador,45–49,Male,744.0,6385.0,8.581989247311828
2023–2024,Newfoundland and Labrador,50–54,All,2207.0,16831.0,7.626189397371999
2023–2024,Newfoundland and Labrador,50–54,Female,1086.0,7255.0,6.680478821362799
2023–2024,Newfoundland and Labrador,50–54,Male,1121.0,9576.0,8.542372881355933
2023–2024,Newfoundland and Labrador,55–59,All,3163.0,23525.0,7.43755927916535
2023–2024,Newfoundland and Labrador,55–59,Female,1508.0,10646.0,7.059681697612732
2023–2024,Newfoundland and Labrador,55–59,Male,1655.0,12879.0,7.781873111782478
2023–2024,Newfoundland and Labrador,60–64,All,4203.0,35403.0,8.42326909350464
2023–2024,Newfoundland and Labrador,60–64,Female,1882.0,15097.0,8.021785334750266
2023–2024,Newfoundland and Labrador,60–64,Male,2321.0,20306.0,8.748815165876778
2023–2024,Newfoundland and Labrador,65–69,All,4909.0,47438.0,9.663475249541658
2023–2024,Newfoundland and Labrador,65–69,Female,2307.0,21627.0,9.374512353706113
2023–2024,Newfoundland and Labrador,65–69,Male,2602.0,25811.0,9.91967717140661
2023–2024,Newfoundland and Labrador,70–74,All,5611.0,58573.0,10.43895918731064
2023–2024,Newfoundland and Labrador,70–74,Female,2568.0,26286.0,10.23598130841122
2023–2024,Newfoundland and Labrador,70–74,Male,3043.0,32287.0,10.61025303976339
2023–2024,Newfoundland and Labrador,75–79,All,5274.0,65224.0,12.36708380735685
2023–2024,Newfoundland and Labrador,75–79,Female,2536.0,32224.0,12.70662460567823
2023–2024,Newfoundland and Labrador,75–79,Male,2738.0,33000.0,12.05259313367421
2023–2024,Newfoundland and Labrador,80–84,All,3590.0,47442.0,13.21504178272981
2023–2024,Newfoundland and Labrador,80–84,Female,1756.0,24913.0,14.1873576309795
2023–2024,Newfoundland and Labrador,80–84,Male,1834.0,22529.0,12.28407851690294
2023–2024,Newfoundland and Labrador,85–89,All,2384.0,37164.0,15.58892617449664
2023–2024,Newfoundland and Labrador,85–89,Female,1295.0,21093.0,16.28803088803089
2023–2024,Newfoundland and Labrador,85–89,Male,1089.0,16071.0,14.75757575757576
2023–2024,Newfoundland and Labrador,90+,All,1516.0,29244.0,19.29023746701847
2023–2024,Newfoundland and Labrador,90+,Female,926.0,17793.0,19.21490280777538
2023–2024,Newfoundland and Labrador,90+,Male,590.0,11451.0,19.40847457627119
2023–2024,Newfoundland and Labrador,All,All,45569.0,426624.0,9.362154095986307
2023–2024,Newfoundland and Labrador,All,Female,24390.0,215138.0,8.820746207462074
2023–2024,Newfoundland and Labrador,All,Male,21170.0,211471.0,9.989182805857345
2023–2024,Prince Edward Island,00–04,All,436.0,1827.0,4.190366972477064
2023–2024,Prince Edward Island,00–04,Female,212.0,938.0,4.424528301886792
2023–2024,Prince Edward Island,00–04,Male,224.0,889.0,3.96875
2023–2024,Prince Edward Island,05–09,All,198.0,374.0,1.888888888888889
2023–2024,Prince Edward Island,05–09,Female,101.0,195.0,1.930693069306931
2023–2024,Prince Edward Island,05–09,Male,97.0,179.0,1.845360824742268
2023–2024,Prince Edward Island,10–14,All,128.0,351.0,2.7421875
2023–2024,Prince Edward Island,10–14,Female,61.0,172.0,2.819672131147541
2023–2024,Prince Edward Island,10–14,Male,66.0,178.0,2.696969696969697
2023–2024,Prince Edward Island,15–19,All,215.0,807.0,3.753488372093023
2023–2024,Prince Edward Island,15–19,Female,123.0,454.0,3.691056910569106
2023–2024,Prince Edward Island,15–19,Male,91.0,351.0,3.857142857142857
2023–2024,Prince Edward Island,20–24,All,441.0,1979.0,4.487528344671202
2023–2024,Prince Edward Island,20–24,Female,313.0,1115.0,3.562300319488818
2023–2024,Prince Edward Island,20–24,Male,123.0,780.0,6.341463414634147
2023–2024,Prince Edward Island,25–29,All,718.0,2702.0,3.763231197771588
2023–2024,Prince Edward Island,25–29,Female,576.0,1950.0,3.385416666666667
2023–2024,Prince Edward Island,25–29,Male,140.0,741.0,5.292857142857143
2023–2024,Prince Edward Island,30–34,All,842.0,3848.0,4.570071258907364
2023–2024,Prince Edward Island,30–34,Female,674.0,2744.0,4.071216617210682
2023–2024,Prince Edward Island,30–34,Male,167.0,1103.0,6.604790419161676
2023–2024,Prince Edward Island,35–39,All,549.0,2551.0,4.646630236794171
2023–2024,Prince Edward Island,35–39,Female,423.0,1808.0,4.274231678486998
2023–2024,Prince Edward Island,35–39,Male,126.0,743.0,5.896825396825397
2023–2024,Prince Edward Island,40–44,All,438.0,2556.0,5.835616438356165
2023–2024,Prince Edward Island,40–44,Female,274.0,1117.0,4.076642335766423
2023–2024,Prince Edward Island,40–44,Male,164.0,1439.0,8.774390243902438
2023–2024,Prince Edward Island,45–49,All,362.0,3110.0,8.591160220994475
2023–2024,Prince Edward Island,45–49,Female,197.0,1540.0,7.817258883248731
2023–2024,Prince Edward Island,45–49,Male,165.0,1570.0,9.515151515151516
2023–2024,Prince Edward Island,50–54,All,490.0,4505.0,9.193877551020408
2023–2024,Prince Edward Island,50–54,Female,240.0,2128.0,8.866666666666667
2023–2024,Prince Edward Island,50–54,Male,250.0,2377.0,9.508
2023–2024,Prince Edward Island,55–59,All,734.0,6147.0,8.374659400544958
2023–2024,Prince Edward Island,55–59,Female,360.0,3337.0,9.269444444444444
2023–2024,Prince Edward Island,55–59,Male,374.0,2810.0,7.51336898395722
2023–2024,Prince Edward Island,60–64,All,884.0,8584.0,9.710407239819004
2023–2024,Prince Edward Island,60–64,Female,403.0,3751.0,9.307692307692308
2023–2024,Prince Edward Island,60–64,Male,481.0,4833.0,10.04781704781705
2023–2024,Prince Edward Island,65–69,All,1227.0,13605.0,11.0880195599022
2023–2024,Prince Edward Island,65–69,Female,606.0,6169.0,10.17986798679868
2023–2024,Prince Edward Island,65–69,Male,620.0,7435.0,11.99193548387097
2023–2024,Prince Edward Island,70–74,All,1296.0,15632.0,12.06172839506173
2023–2024,Prince Edward Island,70–74,Female,615.0,7621.0,12.39186991869919
2023–2024,Prince Edward Island,70–74,Male,681.0,8011.0,11.76358296622614
2023–2024,Prince Edward Island,75–79,All,1502.0,22291.0,14.84087882822903
2023–2024,Prince Edward Island,75–79,Female,714.0,10865.0,15.21708683473389
2023–2024,Prince Edward Island,75–79,Male,788.0,11426.0,14.5
2023–2024,Prince Edward Island,80–84,All,1021.0,17769.0,17.40352595494613
2023–2024,Prince Edward Island,80–84,Female,514.0,9427.0,18.34046692607004
2023–2024,Prince Edward Island,80–84,Male,507.0,8342.0,16.45364891518738
2023–2024,Prince Edward Island,85–89,All,791.0,14400.0,18.20480404551201
2023–2024,Prince Edward Island,85–89,Female,459.0,8324.0,18.13507625272331
2023–2024,Prince Edward Island,85–89,Male,332.0,6076.0,18.30120481927711
2023–2024,Prince Edward Island,90+,All,548.0,13201.0,24.08941605839416
2023–2024,Prince Edward Island,90+,Female,339.0,8548.0,25.21533923303835
2023–2024,Prince Edward Island,90+,Male,209.0,4653.0,22.26315789473684
2023–2024,Prince Edward Island,All,All,12820.0,136239.0,10.62706708268331
2023–2024,Prince Edward Island,All,Female,7204.0,72203.0,10.02262631871183
2023–2024,Prince Edward Island,All,Male,5605.0,63936.0,11.40695807314897
2023–2024,Nova Scotia,00–04,All,2764.0,12261.0,4.435962373371924
2023–2024,Nova Scotia,00–04,Female,1201.0,5277.0,4.393838467943381
2023–2024,Nova Scotia,00–04,Male,1563.0,6984.0,4.468330134357005
2023–2024,Nova Scotia,05–09,All,1007.0,3873.0,3.846077457795432
2023–2024,Nova Scotia,05–09,Female,447.0,1566.0,3.503355704697987
2023–2024,Nova Scotia,05–09,Male,560.0,2307.0,4.119642857142857
2023–2024,Nova Scotia,10–14,All,836.0,4215.0,5.041866028708134
2023–2024,Nova Scotia,10–14,Female,427.0,2276.0,5.330210772833723
2023–2024,Nova Scotia,10–14,Male,409.0,1939.0,4.74083129584352
2023–2024,Nova Scotia,15–19,All,1332.0,8790.0,6.599099099099099
2023–2024,Nova Scotia,15–19,Female,789.0,4719.0,5.980988593155893
2023–2024,Nova Scotia,15–19,Male,543.0,4071.0,7.497237569060774
2023–2024,Nova Scotia,20–24,All,2109.0,12626.0,5.986723565670934
2023–2024,Nova Scotia,20–24,Female,1572.0,7011.0,4.459923664122138
2023–2024,Nova Scotia,20–24,Male,534.0,5611.0,10.50749063670412
2023–2024,Nova Scotia,25–29,All,3819.0,18051.0,4.72663000785546
2023–2024,Nova Scotia,25–29,Female,3109.0,11042.0,3.551624316500483
2023–2024,Nova Scotia,25–29,Male,705.0,7003.0,9.933333333333334
2023–2024,Nova Scotia,30–34,All,5033.0,20816.0,4.135903039936419
2023–2024,Nova Scotia,30–34,Female,4192.0,14148.0,3.375
2023–2024,Nova Scotia,30–34,Male,840.0,6667.0,7.936904761904762
2023–2024,Nova Scotia,35–39,All,3619.0,18411.0,5.087316938380768
2023–2024,Nova Scotia,35–39,Female,2740.0,10540.0,3.846715328467153
2023–2024,Nova Scotia,35–39,Male,877.0,7866.0,8.96921322690992
2023–2024,Nova Scotia,40–44,All,2559.0,19578.0,7.650644783118405
2023–2024,Nova Scotia,40–44,Female,1515.0,10020.0,6.613861386138614
2023–2024,Nova Scotia,40–44,Male,1043.0,9557.0,9.162991371045063
2023–2024,Nova Scotia,45–49,All,2749.0,21969.0,7.991633321207712
2023–2024,Nova Scotia,45–49,Female,1456.0,10668.0,7.326923076923077
2023–2024,Nova Scotia,45–49,Male,1291.0,11299.0,8.752130131680868
2023–2024,Nova Scotia,50–54,All,3460.0,29639.0,8.566184971098266
2023–2024,Nova Scotia,50–54,Female,1700.0,13634.0,8.02
2023–2024,Nova Scotia,50–54,Male,1758.0,15988.0,9.094425483503981
2023–2024,Nova Scotia,55–59,All,5134.0,46840.0,9.123490455784964
2023–2024,Nova Scotia,55–59,Female,2309.0,22605.0,9.789952360329147
2023–2024,Nova Scotia,55–59,Male,2825.0,24235.0,8.578761061946903
2023–2024,Nova Scotia,60–64,All,7206.0,73966.0,10.26450180405218
2023–2024,Nova Scotia,60–64,Female,3320.0,33085.0,9.965361445783133
2023–2024,Nova Scotia,60–64,Male,3886.0,40881.0,10.52007205352548
2023–2024,Nova Scotia,65–69,All,8699.0,91975.0,10.57305437406598
2023–2024,Nova Scotia,65–69,Female,3858.0,40703.0,10.55028512182478
2023–2024,Nova Scotia,65–69,Male,4841.0,51272.0,10.59120016525511
2023–2024,Nova Scotia,70–74,All,9524.0,113829.0,11.95180596388072
2023–2024,Nova Scotia,70–74,Female,4383.0,52335.0,11.94045174537988
2023–2024,Nova Scotia,70–74,Male,5141.0,61494.0,11.96148609219996
2023–2024,Nova Scotia,75–79,All,9674.0,126961.0,13.12394045896217
2023–2024,Nova Scotia,75–79,Female,4788.0,63362.0,13.23350041771094
2023–2024,Nova Scotia,75–79,Male,4886.0,63599.0,13.01657797789603
2023–2024,Nova Scotia,80–84,All,7120.0,110544.0,15.52584269662921
2023–2024,Nova Scotia,80–84,Female,3498.0,55621.0,15.90080045740423
2023–2024,Nova Scotia,80–84,Male,3622.0,54923.0,15.16372170071783
2023–2024,Nova Scotia,85–89,All,4940.0,93782.0,18.98421052631579
2023–2024,Nova Scotia,85–89,Female,2670.0,53704.0,20.11385767790262
2023–2024,Nova Scotia,85–89,Male,2270.0,40078.0,17.65550660792951
2023–2024,Nova Scotia,90+,All,3400.0,73230.0,21.53823529411765
2023–2024,Nova Scotia,90+,Female,2149.0,47115.0,21.92415076779898
2023–2024,Nova Scotia,90+,Male,1251.0,26115.0,20.87529976019185
2023–2024,Nova Scotia,All,All,84984.0,901356.0,10.60618469358938
2023–2024,Nova Scotia,All,Female,46123.0,459431.0,9.960995598725148
2023–2024,Nova Scotia,All,Male,38845.0,441889.0,11.37569828806796
2023–2024,New Brunswick,00–04,All,1758.0,5876.0,3.342434584755404
2023–2024,New Brunswick,00–04,Female,813.0,3230.0,3.972939729397294
2023–2024,New Brunswick,00–04,Male,945.0,2646.0,2.8
2023–2024,New Brunswick,05–09,All,645.0,1946.0,3.017054263565892
2023–2024,New Brunswick,05–09,Female,279.0,755.0,2.706093189964158
2023–2024,New Brunswick,05–09,Male,366.0,1191.0,3.254098360655738
2023–2024,New Brunswick,10–14,All,651.0,3683.0,5.657450076804915
2023–2024,New Brunswick,10–14,Female,342.0,1989.0,5.815789473684211
2023–2024,New Brunswick,10–14,Male,309.0,1694.0,5.482200647249191
2023–2024,New Brunswick,15–19,All,1161.0,7550.0,6.503014642549526
2023–2024,New Brunswick,15–19,Female,728.0,4527.0,6.218406593406593
2023–2024,New Brunswick,15–19,Male,433.0,3023.0,6.981524249422633
2023–2024,New Brunswick,20–24,All,1920.0,10200.0,5.3125
2023–2024,New Brunswick,20–24,Female,1426.0,5260.0,3.688639551192146
2023–2024,New Brunswick,20–24,Male,493.0,4937.0,10.01419878296146
2023–2024,New Brunswick,25–29,All,3367.0,15292.0,4.541728541728542
2023–2024,New Brunswick,25–29,Female,2775.0,10320.0,3.718918918918919
2023–2024,New Brunswick,25–29,Male,592.0,4972.0,8.39864864864865
2023–2024,New Brunswick,30–34,All,3618.0,16399.0,4.532614704256495
2023–2024,New Brunswick,30–34,Female,2887.0,10885.0,3.770349844128853
2023–2024,New Brunswick,30–34,Male,731.0,5514.0,7.543091655266758
2023–2024,New Brunswick,35–39,All,2575.0,14736.0,5.722718446601942
2023–2024,New Brunswick,35–39,Female,1846.0,8922.0,4.833152762730228
2023–2024,New Brunswick,35–39,Male,729.0,5814.0,7.975308641975309
2023–2024,New Brunswick,40–44,All,2174.0,15756.0,7.247470101195952
2023–2024,New Brunswick,40–44,Female,1222.0,6940.0,5.679214402618658
2023–2024,New Brunswick,40–44,Male,952.0,8816.0,9.260504201680673
2023–2024,New Brunswick,45–49,All,2446.0,18978.0,7.758789860997547
2023–2024,New Brunswick,45–49,Female,1181.0,8441.0,7.147332768839966
2023–2024,New Brunswick,45–49,Male,1265.0,10537.0,8.329644268774704
2023–2024,New Brunswick,50–54,All,3100.0,25909.0,8.35774193548387
2023–2024,New Brunswick,50–54,Female,1525.0,12546.0,8.22688524590164
2023–2024,New Brunswick,50–54,Male,1575.0,13363.0,8.484444444444444
2023–2024,New Brunswick,55–59,All,4313.0,36214.0,8.396475770925111
2023–2024,New Brunswick,55–59,Female,1998.0,16372.0,8.194194194194194
2023–2024,New Brunswick,55–59,Male,2314.0,19835.0,8.571737251512532
2023–2024,New Brunswick,60–64,All,6008.0,53975.0,8.983854860186419
2023–2024,New Brunswick,60–64,Female,2662.0,24611.0,9.245304282494365
2023–2024,New Brunswick,60–64,Male,3346.0,29364.0,8.775851763299462
2023–2024,New Brunswick,65–69,All,7359.0,72038.0,9.789101780133171
2023–2024,New Brunswick,65–69,Female,3273.0,33574.0,10.25786739993889
2023–2024,New Brunswick,65–69,Male,4085.0,38462.0,9.415422276621786
2023–2024,New Brunswick,70–74,All,8064.0,86873.0,10.77294146825397
2023–2024,New Brunswick,70–74,Female,3661.0,42408.0,11.58372029500137
2023–2024,New Brunswick,70–74,Male,4403.0,44465.0,10.09879627526686
2023–2024,New Brunswick,75–79,All,7660.0,96162.0,12.55378590078329
2023–2024,New Brunswick,75–79,Female,3563.0,47400.0,13.30339601459444
2023–2024,New Brunswick,75–79,Male,4097.0,48762.0,11.90187942396876
2023–2024,New Brunswick,80–84,All,5805.0,81928.0,14.11335055986219
2023–2024,New Brunswick,80–84,Female,2810.0,41624.0,14.81281138790036
2023–2024,New Brunswick,80–84,Male,2995.0,40304.0,13.45709515859766
2023–2024,New Brunswick,85–89,All,4079.0,64694.0,15.86025986761461
2023–2024,New Brunswick,85–89,Female,2329.0,39968.0,17.16101331043366
2023–2024,New Brunswick,85–89,Male,1749.0,24725.0,14.136649514008
2023–2024,New Brunswick,90+,All,2798.0,51776.0,18.50464617583988
2023–2024,New Brunswick,90+,Female,1823.0,35165.0,19.28963247394405
2023–2024,New Brunswick,90+,Male,975.0,16611.0,17.03692307692308
2023–2024,New Brunswick,All,All,69501.0,679985.0,9.783816060200573
2023–2024,New Brunswick,All,Female,37143.0,354937.0,9.555959400156153
2023–2024,New Brunswick,All,Male,32354.0,325035.0,10.04620757866106
2023–2024,Quebec,00–04,All,32891.0,126372.0,3.842145267702411
2023–2024,Quebec,00–04,Female,14289.0,55023.0,3.850724333403317
2023–2024,Quebec,00–04,Male,18602.0,71349.0,3.83555531663262
2023–2024,Quebec,05–09,All,8275.0,25320.0,3.059818731117825
2023–2024,Quebec,05–09,Female,3703.0,10892.0,2.941398865784499
2023–2024,Quebec,05–09,Male,4572.0,14428.0,3.15573053368329
2023–2024,Quebec,10–14,All,7257.0,31555.0,4.348215516053465
2023–2024,Quebec,10–14,Female,3674.0,18801.0,5.117310832879695
2023–2024,Quebec,10–14,Male,3583.0,12754.0,3.559586938319844
2023–2024,Quebec,15–19,All,10667.0,56286.0,5.276647604762351
2023–2024,Quebec,15–19,Female,6214.0,31708.0,5.102671387190216
2023–2024,Quebec,15–19,Male,4453.0,24578.0,5.519425106669661
2023–2024,Quebec,20–24,All,16741.0,83693.0,4.99928319694164
2023–2024,Quebec,20–24,Female,12226.0,42574.0,3.482250940618354
2023–2024,Quebec,20–24,Male,4515.0,41119.0,9.10719822812846
2023–2024,Quebec,25–29,All,35587.0,140541.0,3.949223030882064
2023–2024,Quebec,25–29,Female,29737.0,86674.0,2.914685408750042
2023–2024,Quebec,25–29,Male,5850.0,53867.0,9.208034188034189
2023–2024,Quebec,30–34,All,46533.0,165961.0,3.566522682827241
2023–2024,Quebec,30–34,Female,39271.0,110228.0,2.806854931119656
2023–2024,Quebec,30–34,Male,7262.0,55733.0,7.674607546130543
2023–2024,Quebec,35–39,All,31731.0,145266.0,4.578046705114872
2023–2024,Quebec,35–39,Female,23825.0,83515.0,3.505351521511018
2023–2024,Quebec,35–39,Male,7906.0,61751.0,7.810650139134834
2023–2024,Quebec,40–44,All,23440.0,141448.0,6.034470989761092
2023–2024,Quebec,40–44,Female,13766.0,65634.0,4.767833793404039
2023–2024,Quebec,40–44,Male,9674.0,75814.0,7.836882365102336
2023–2024,Quebec,45–49,All,21350.0,140410.0,6.576580796252927
2023–2024,Quebec,45–49,Female,10914.0,64637.0,5.922393256367967
2023–2024,Quebec,45–49,Male,10436.0,75773.0,7.260732081257187
2023–2024,Quebec,50–54,All,24266.0,163696.0,6.745899612626721
2023–2024,Quebec,50–54,Female,11545.0,74308.0,6.436379385015158
2023–2024,Quebec,50–54,Male,12721.0,89388.0,7.026806068705291
2023–2024,Quebec,55–59,All,33169.0,241805.0,7.290090144411951
2023–2024,Quebec,55–59,Female,14944.0,105494.0,7.059288008565311
2023–2024,Quebec,55–59,Male,18225.0,136311.0,7.479341563786008
2023–2024,Quebec,60–64,All,48641.0,368067.0,7.567011369009683
2023–2024,Quebec,60–64,Female,21627.0,160807.0,7.43547417579877
2023–2024,Quebec,60–64,Male,27014.0,207260.0,7.67231805730362
2023–2024,Quebec,65–69,All,59764.0,471573.0,7.890586306137474
2023–2024,Quebec,65–69,Female,26713.0,211369.0,7.91258937595927
2023–2024,Quebec,65–69,Male,33051.0,260204.0,7.872802638346798
2023–2024,Quebec,70–74,All,64633.0,543876.0,8.41483452725388
2023–2024,Quebec,70–74,Female,29542.0,254685.0,8.621115699681809
2023–2024,Quebec,70–74,Male,35091.0,289191.0,8.241172950329144
2023–2024,Quebec,75–79,All,69604.0,660846.0,9.494368139762082
2023–2024,Quebec,75–79,Female,33221.0,326195.0,9.818939827217724
2023–2024,Quebec,75–79,Male,36383.0,334651.0,9.198004562570432
2023–2024,Quebec,80–84,All,59077.0,645483.0,10.92613030451783
2023–2024,Quebec,80–84,Female,30099.0,344626.0,11.4497491611017
2023–2024,Quebec,80–84,Male,28978.0,300857.0,10.38225550417558
2023–2024,Quebec,85–89,All,45148.0,566061.0,12.53789758128821
2023–2024,Quebec,85–89,Female,25002.0,325045.0,13.00075993920486
2023–2024,Quebec,85–89,Male,20146.0,241016.0,11.96346669314008
2023–2024,Quebec,90+,All,38248.0,520169.0,13.59990064839992
2023–2024,Quebec,90+,Female,24505.0,339485.0,13.85370332585187
2023–2024,Quebec,90+,Male,13743.0,180684.0,13.14734774066798
2023–2024,Quebec,All,All,677022.0,5238428.0,7.737456094484374
2023–2024,Quebec,All,Female,374817.0,2711700.0,7.234730548507672
2023–2024,Quebec,All,Male,302205.0,2526728.0,8.360973511358184
2023–2024,Ontario,00–04,All,44641.0,223893.0,5.015411841132591
2023–2024,Ontario,00–04,Female,19363.0,98408.0,5.082270309352889
2023–2024,Ontario,00–04,Male,25273.0,125468.0,4.96450757725636
2023–2024,Ontario,05–09,All,14253.0,46338.0,3.251105030519891
2023–2024,Ontario,05–09,Female,6303.0,21368.0,3.3901316833254
2023–2024,Ontario,05–09,Male,7949.0,24969.0,3.141149830167317
2023–2024,Ontario,10–14,All,13995.0,67959.0,4.855948553054662
2023–2024,Ontario,10–14,Female,7488.0,38873.0,5.191372863247863
2023–2024,Ontario,10–14,Male,6488.0,28878.0,4.450986436498151
2023–2024,Ontario,15–19,All,22014.0,120674.0,5.481693467793223
2023–2024,Ontario,15–19,Female,12873.0,71469.0,5.551852714984852
2023–2024,Ontario,15–19,Male,9076.0,48834.0,5.380564125165271
2023–2024,Ontario,20–24,All,30942.0,148065.0,4.785243358541788
2023–2024,Ontario,20–24,Female,20874.0,78908.0,3.780205039762384
2023–2024,Ontario,20–24,Male,10034.0,69056.0,6.88220051823799
2023–2024,Ontario,25–29,All,61557.0,232471.0,3.776516074532547
2023–2024,Ontario,25–29,Female,48666.0,141632.0,2.910286442280031
2023–2024,Ontario,25–29,Male,12858.0,90712.0,7.054907450614404
2023–2024,Ontario,30–34,All,90214.0,295910.0,3.280089564812557
2023–2024,Ontario,30–34,Female,75548.0,197141.0,2.609480065653624
2023–2024,Ontario,30–34,Male,14648.0,98615.0,6.732318405243037
2023–2024,Ontario,35–39,All,66727.0,261295.0,3.91588112757954
2023–2024,Ontario,35–39,Female,51306.0,161267.0,3.143238607570265
2023–2024,Ontario,35–39,Male,15412.0,100002.0,6.488580327017909
2023–2024,Ontario,40–44,All,41499.0,219907.0,5.299091544374563
2023–2024,Ontario,40–44,Female,25322.0,112797.0,4.454505963194061
2023–2024,Ontario,40–44,Male,16171.0,107092.0,6.622472327005132
2023–2024,Ontario,45–49,All,38171.0,246989.0,6.470592858452752
2023–2024,Ontario,45–49,Female,20087.0,117209.0,5.835067456563947
2023–2024,Ontario,45–49,Male,18073.0,129695.0,7.176174403806783
2023–2024,Ontario,50–54,All,47228.0,322301.0,6.82450716751011
2023–2024,Ontario,50–54,Female,22880.0,146747.0,6.414047816775208
2023–2024,Ontario,50–54,Male,24342.0,175523.0,7.210705776024978
2023–2024,Ontario,55–59,All,63171.0,466930.0,7.391524591980497
2023–2024,Ontario,55–59,Female,28423.0,199754.0,7.027899940189283
2023–2024,Ontario,55–59,Male,34746.0,267174.0,7.689345536176826
2023–2024,Ontario,60–64,All,85951.0,647501.0,7.533461314717859
2023–2024,Ontario,60–64,Female,38272.0,282067.0,7.370254239502495
2023–2024,Ontario,60–64,Male,47675.0,365406.0,7.664520188778186
2023–2024,Ontario,65–69,All,97047.0,788621.0,8.126343448915451
2023–2024,Ontario,65–69,Female,44022.0,349673.0,7.943322505167988
2023–2024,Ontario,65–69,Male,53023.0,438945.0,8.278544755007356
2023–2024,Ontario,70–74,All,103031.0,886774.0,8.607032971299343
2023–2024,Ontario,70–74,Female,48222.0,409743.0,8.497190020945231
2023–2024,Ontario,70–74,Male,54806.0,477008.0,8.703731411367576
2023–2024,Ontario,75–79,All,106772.0,996458.0,9.33275264587431
2023–2024,Ontario,75–79,Female,51907.0,486190.0,9.366739875929564
2023–2024,Ontario,75–79,Male,54860.0,510246.0,9.301044495889462
2023–2024,Ontario,80–84,All,91551.0,951403.0,10.39239524620964
2023–2024,Ontario,80–84,Female,46646.0,487043.0,10.4417074007375
2023–2024,Ontario,80–84,Male,44903.0,464357.0,10.34156607723487
2023–2024,Ontario,85–89,All,74329.0,862249.0,11.60059466150038
2023–2024,Ontario,85–89,Female,40102.0,466555.0,11.63420777018603
2023–2024,Ontario,85–89,Male,34226.0,395692.0,11.56149013878744
2023–2024,Ontario,90+,All,63754.0,784343.0,12.30303363031748
2023–2024,Ontario,90+,Female,39108.0,489234.0,12.51013884982228
2023–2024,Ontario,90+,Male,24645.0,295106.0,11.97476059081318
2023–2024,Ontario,All,All,1156847.0,8570081.0,7.408226597961849
2023–2024,Ontario,All,Female,647412.0,4356078.0,6.728531179912388
2023–2024,Ontario,All,Male,509208.0,4212778.0,8.273294291852743
2023–2024,Manitoba,00–04,All,3381.0,24006.0,7.100266193433895
2023–2024,Manitoba,00–04,Female,1528.0,10683.0,6.991492146596858
2023–2024,Manitoba,00–04,Male,1853.0,13323.0,7.189962223421479
2023–2024,Manitoba,05–09,All,1119.0,6096.0,5.447721179624665
2023–2024,Manitoba,05–09,Female,537.0,2824.0,5.258845437616388
2023–2024,Manitoba,05–09,Male,582.0,3272.0,5.621993127147766
2023–2024,Manitoba,10–14,All,1275.0,6132.0,4.809411764705882
2023–2024,Manitoba,10–14,Female,696.0,3712.0,5.333333333333333
2023–2024,Manitoba,10–14,Male,579.0,2420.0,4.179620034542315
