Fiscal_Year,Province_Territory,Age_Group,Sex,Number_of_Discharges,Total_Length_of_Stay_Days,Average_Length_of_Stay_Days
1996–1997,Nunavut,All,All,1326.0,5713.0,4.2
1996–1997,Nunavut,All,Female,870.0,2785.0,3.2
1996–1997,Nunavut,All,Male,456.0,2928.0,6.3
1996–1997,Canada,00<01,All,84480.0,461261.0,5.5
1996–1997,Canada,00<01,Female,34821.0,193811.0,5.6
1996–1997,Canada,00<01,Male,49659.0,267426.0,5.4
1996–1997,Canada,01–04,All,94998.0,282636.0,3.0
1996–1997,Canada,01–04,Female,39730.0,121716.0,3.1
1996–1997,Canada,01–04,Male,55268.0,160918.0,2.9
1996–1997,Canada,05–09,All,57091.0,189574.0,3.3
1996–1997,Canada,05–09,Female,25034.0,80686.0,3.2
1996–1997,Canada,05–09,Male,32057.0,108888.0,3.4
1996–1997,Canada,10–14,All,53329.0,228676.0,4.3
1996–1997,Canada,10–14,Female,25500.0,114161.0,4.5
1996–1997,Canada,10–14,Male,27829.0,114514.0,4.1
1996–1997,Canada,15–19,All,109004.0,456659.0,4.2
1996–1997,Canada,15–19,Female,73890.0,283597.0,3.8
1996–1997,Canada,15–19,Male,35114.0,173062.0,4.9
1996–1997,Canada,20–24,All,167385.0,633180.0,3.8
1996–1997,Canada,20–24,Female,131741.0,434353.0,3.3
1996–1997,Canada,20–24,Male,35644.0,198816.0,5.6
1996–1997,Canada,25–29,All,231797.0,884582.0,3.8
1996–1997,Canada,25–29,Female,191668.0,652688.0,3.4
1996–1997,Canada,25–29,Male,40129.0,231880.0,5.8
1996–1997,Canada,30–34,All,253706.0,1055489.0,4.2
1996–1997,Canada,30–34,Female,200184.0,743506.0,3.7
1996–1997,Canada,30–34,Male,53522.0,311968.0,5.8
1996–1997,Canada,35–39,All,191986.0,972545.0,5.1
1996–1997,Canada,35–39,Female,130672.0,605329.0,4.6
1996–1997,Canada,35–39,Male,61314.0,367212.0,6.0
1996–1997,Canada,40–44,All,154333.0,920576.0,6.0
1996–1997,Canada,40–44,Female,88807.0,517020.0,5.8
1996–1997,Canada,40–44,Male,65526.0,403539.0,6.2
1996–1997,Canada,45–49,All,156624.0,986716.0,6.3
1996–1997,Canada,45–49,Female,83595.0,528025.0,6.3
1996–1997,Canada,45–49,Male,73029.0,458691.0,6.3
1996–1997,Canada,50–54,All,150770.0,1004070.0,6.7
1996–1997,Canada,50–54,Female,74584.0,499273.0,6.7
1996–1997,Canada,50–54,Male,76186.0,504797.0,6.6
1996–1997,Canada,55–59,All,153144.0,1101603.0,7.2
1996–1997,Canada,55–59,Female,71358.0,524429.0,7.3
1996–1997,Canada,55–59,Male,81786.0,577174.0,7.1
1996–1997,Canada,60–64,All,180170.0,1415469.0,7.9
1996–1997,Canada,60–64,Female,81569.0,654542.0,8.0
1996–1997,Canada,60–64,Male,98601.0,760927.0,7.7
1996–1997,Canada,65–69,All,223326.0,1922265.0,8.6
1996–1997,Canada,65–69,Female,100898.0,899627.0,8.9
1996–1997,Canada,65–69,Male,122428.0,1022638.0,8.4
1996–1997,Canada,70–74,All,249472.0,2396260.0,9.6
1996–1997,Canada,70–74,Female,120210.0,1201493.0,10.0
1996–1997,Canada,70–74,Male,129262.0,1194767.0,9.2
1996–1997,Canada,75–79,All,228036.0,2447562.0,10.7
1996–1997,Canada,75–79,Female,117397.0,1320612.0,11.2
1996–1997,Canada,75–79,Male,110639.0,1126950.0,10.2
1996–1997,Canada,80–84,All,183278.0,2255158.0,12.3
1996–1997,Canada,80–84,Female,102268.0,1330385.0,13.0
1996–1997,Canada,80–84,Male,81010.0,924764.0,11.4
1996–1997,Canada,85–89,All,108325.0,1491983.0,13.8
1996–1997,Canada,85–89,Female,66029.0,950731.0,14.4
1996–1997,Canada,85–89,Male,42296.0,541252.0,12.8
1996–1997,Canada,90+,All,52392.0,801800.0,15.3
1996–1997,Canada,90+,Female,35424.0,564781.0,15.9
1996–1997,Canada,90+,Male,16968.0,237019.0,14.0
1996–1997,Canada,All,All,3083646.0,21908064.0,7.1
1996–1997,Canada,All,Female,1795379.0,12220765.0,6.8
1996–1997,Canada,All,Male,1288267.0,9687202.0,7.5
1995–1996,Newfoundland and Labrador,00<01,All,1329.0,11290.0,8.5
1995–1996,Newfoundland and Labrador,00<01,Female,496.0,4799.0,9.7
1995–1996,Newfoundland and Labrador,00<01,Male,833.0,6491.0,7.8
1995–1996,Newfoundland and Labrador,01–04,All,1952.0,6159.0,3.2
1995–1996,Newfoundland and Labrador,01–04,Female,797.0,2540.0,3.2
1995–1996,Newfoundland and Labrador,01–04,Male,1155.0,3619.0,3.1
1995–1996,Newfoundland and Labrador,05–09,All,2006.0,6755.0,3.4
1995–1996,Newfoundland and Labrador,05–09,Female,841.0,2667.0,3.2
1995–1996,Newfoundland and Labrador,05–09,Male,1165.0,4088.0,3.5
1995–1996,Newfoundland and Labrador,10–14,All,1998.0,9785.0,4.9
1995–1996,Newfoundland and Labrador,10–14,Female,993.0,4698.0,4.7
1995–1996,Newfoundland and Labrador,10–14,Male,1005.0,5087.0,5.1
1995–1996,Newfoundland and Labrador,15–19,All,3327.0,15198.0,4.6
1995–1996,Newfoundland and Labrador,15–19,Female,2328.0,10663.0,4.6
1995–1996,Newfoundland and Labrador,15–19,Male,999.0,4535.0,4.5
1995–1996,Newfoundland and Labrador,20–24,All,4472.0,20104.0,4.5
1995–1996,Newfoundland and Labrador,20–24,Female,3506.0,14062.0,4.0
1995–1996,Newfoundland and Labrador,20–24,Male,966.0,6034.0,6.2
1995–1996,Newfoundland and Labrador,25–29,All,5137.0,22164.0,4.3
1995–1996,Newfoundland and Labrador,25–29,Female,4157.0,17218.0,4.1
